artist_count,in_spotify_playlists,in_spotify_charts,streams,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,liveness_%
2,5730,10,497225336,145,F#,Minor,59,20,74,1,15
1,356,4,88791109,121,F#,Minor,64,67,80,0,36
1,604,6,125917280,140,D#,Minor,66,43,76,49,12
3,1190,0,105062254,137,C#,Minor,84,44,67,8,11
1,579,0,95623148,104,G#,Major,56,72,85,0,15
1,1553,2,144584800,92,F,Major,57,68,76,7,33
1,2301,20,298063749,146,D,Minor,74,51,45,86,21
1,134,4,166570053,120,D,Major,56,20,43,89,12
1,430,0,83021468,144,D,Major,68,83,81,9,8
2,86,0,139836056,94,A,Major,59,44,56,80,6
1,629,14,303216294,94,G#,Major,73,65,79,5,11
2,1701,15,221409663,113,G,Minor,79,66,74,8,11
2,329,0,58890931,148,E,Major,50,49,76,12,12
1,1168,0,81419389,98,C#,Major,70,29,73,12,11
1,162,6,156777415,140,B,Major,58,26,38,91,10
1,2536,6,284908316,100,G,Major,36,28,28,81,18
2,387,11,93438910,140,F#,Major,86,68,79,39,11
1,892,17,363472647,100,E,Minor,59,78,94,27,29
1,3909,0,372476382,100,A,Minor,59,49,65,2,13
2,3645,15,380726517,132,,Minor,87,82,70,42,21
1,282,0,56533272,142,D,Major,49,48,67,10,26
1,888,22,175399345,176,E,Minor,72,96,63,25,21
1,968,4,203221468,140,F#,Major,53,51,70,49,14
1,25065,6,1624165576,105,D#,Minor,55,40,90,1,32
1,531,4,134294498,135,F,Major,81,97,77,75,35
1,242,0,70069745,128,E,Minor,82,61,59,30,12
2,5281,14,609293408,101,F,Major,74,43,69,12,12
1,2590,30,671365962,122,A#,Major,88,43,50,7,14
1,1769,34,362361576,105,,Minor,76,49,56,80,10
2,454,4,93587665,83,C#,Major,53,40,36,73,11
4,6180,7,1223481149,77,B,Minor,72,59,76,24,42
1,3600,11,1022258230,140,B,Minor,75,18,25,78,11
2,1254,6,263453310,158,C#,Major,65,72,95,31,92
2,6398,31,1435127549,176,G,Major,75,43,65,15,11
2,660,15,236857112,98,B,Major,73,88,57,56,5
1,1283,0,147538971,107,B,Minor,66,47,40,72,11
1,8084,6,698086140,109,F,Minor,66,16,57,10,12
1,2332,2,723894473,109,A#,Minor,84,72,74,10,34
1,203,0,34450974,148,,Major,53,61,81,5,36
1,685,14,403097450,158,F#,Minor,60,52,76,17,19
2,2460,13,309483971,94,F,Minor,74,64,73,6,10
1,288,6,319566866,96,F#,Minor,70,40,51,35,10
1,4572,33,909001996,100,F,Minor,80,29,67,29,12
2,6127,13,1061966512,105,A,Major,58,42,68,1,14
1,166,0,32526947,125,,Major,53,32,66,38,9
1,1838,0,124988687,170,F#,Minor,56,56,63,13,19
3,1890,0,103787664,115,,Major,70,84,90,17,41
1,2098,16,134255790,122,G#,Major,64,25,89,0,15
1,761,12,301051721,105,A#,Minor,88,82,80,8,11
1,1225,0,156338624,133,F,Major,66,74,84,25,21
2,415,2,152850295,100,,Major,79,60,68,7,26
1,3469,0,309653982,120,D#,Minor,82,55,45,15,9
1,3311,0,297328960,177,A,Major,25,17,30,90,13
1,2616,0,332506354,142,D,Minor,64,31,72,15,9
1,3006,16,480507035,144,E,Minor,57,47,84,1,52
2,4260,0,1065580332,120,B,Minor,65,80,86,9,19
1,482,0,122763672,135,D,Major,92,73,51,55,15
1,4013,10,445763624,107,B,Major,81,82,78,38,12
6,138,4,1365184,105,G,Major,82,62,74,10,33
2,1368,0,184308753,108,F#,Minor,44,38,77,9,9
1,17852,4,789753877,147,,Minor,51,62,79,22,14
3,889,20,323358833,115,,Major,71,34,88,16,44
2,4796,9,606361689,174,F,Major,70,57,64,23,8
3,658,6,120972253,90,A#,Minor,68,83,71,3,31
1,3009,2,338564981,141,E,Minor,41,9,25,84,14
1,17492,3,1606986953,82,F,Major,68,50,49,56,8
1,6170,7,1301799902,92,F,Major,47,25,43,62,32
6,130,4,140187018,116,G#,Minor,77,65,80,6,15
2,27705,10,1897517891,124,A,Minor,79,59,86,4,8
1,359,0,107642809,125,A#,Minor,71,83,89,1,17
1,1963,16,551305895,90,,Major,80,71,69,2,27
3,5491,14,556585270,83,C#,Major,46,34,64,31,7
1,27119,0,2303033973,124,B,Minor,79,68,79,1,10
1,1776,14,646886885,140,G#,Major,58,4,60,7,8
2,1473,4,222612678,154,,Major,64,61,91,15,72
2,13315,0,1814349763,150,D#,Minor,74,89,70,2,5
1,4057,8,872137015,186,E,Minor,41,9,61,2,12
1,3045,6,571386359,166,G#,Minor,40,23,48,5,12
2,3006,12,304079786,107,,Major,87,20,83,0,31
3,852,0,174006928,87,G,Major,87,52,52,31,28
1,2163,15,284785823,82,G#,Major,40,39,64,21,7
1,1484,0,163284000,114,A,Minor,46,60,28,91,21
1,1703,0,246390068,148,G#,Major,47,15,52,38,29
1,4169,44,482257456,140,F#,Major,91,97,57,38,40
1,1054,0,168684524,101,G,Major,90,76,81,15,33
3,2849,0,78489819,140,C#,Minor,81,6,84,5,6
3,1602,0,195516622,88,G,Minor,49,24,66,19,18
1,9644,28,1260594497,180,C#,Major,64,44,65,28,14
1,4827,0,428685680,133,D,Major,95,91,89,6,31
1,21811,0,1024858327,108,A#,Minor,63,20,55,72,6
1,168,0,838586769,80,F,Minor,39,24,43,39,23
1,688,0,199386237,75,B,Minor,80,46,62,3,11
2,10565,44,972509632,121,F#,Minor,67,26,64,52,17
2,1612,0,213438580,140,D,Minor,58,17,62,18,20
1,12755,8,1555511105,126,B,Minor,81,59,90,5,36
1,574,4,210038833,102,C#,Major,58,29,94,0,9
1,2499,0,227918678,82,A,Major,70,31,34,60,11
1,10426,2,826623384,121,C#,Minor,46,53,78,23,72
2,15894,8,1802514301,103,F#,Minor,70,92,83,1,7
1,9424,0,1329090101,108,F,Minor,82,88,76,9,12
1,713,7,181831132,85,F,Minor,65,36,47,31,12
2,7758,28,462791599,125,C#,Minor,84,70,69,1,5
1,2537,2,348647203,120,D,Major,69,40,39,41,13
3,292,6,366599607,94,,Major,58,44,57,57,10
3,323,0,90598517,130,F#,Minor,65,49,80,22,7
2,14143,4,1479264469,110,E,Major,74,51,74,2,29
1,25653,0,1449779435,150,G,Major,34,33,63,16,7
1,22153,0,1159176109,107,B,Minor,74,88,65,28,46
1,14994,0,769213520,140,G#,Major,70,85,41,71,45
1,10326,0,741301563,119,D,Major,74,78,37,84,6
1,12353,0,807561936,93,E,Major,35,38,23,91,29
1,9408,0,834129063,133,G,Major,46,53,63,5,30
1,8879,0,663832097,202,G,Major,24,76,60,77,12
1,6512,0,446390129,134,C#,Major,45,72,24,91,18
1,5140,0,690104769,105,C#,Major,72,33,51,48,9
1,6596,0,485285717,160,G#,Major,51,69,81,0,21
1,3788,0,520034544,148,D,Major,50,96,82,47,34
1,7655,0,476244795,151,G,Major,65,70,47,87,9
1,9577,0,629173063,162,F#,Minor,67,88,54,51,9
1,10114,0,404664135,92,D,Major,53,84,77,40,32
1,1007,0,98709329,152,C#,Major,65,35,65,44,21
1,1127,0,110849052,65,A,Minor,71,55,26,85,13
4,10829,0,460492795,147,D,Major,33,39,61,32,77
2,1042,0,94005786,150,A#,Minor,73,71,69,53,32
1,7930,0,395591396,140,,Major,67,81,36,64,15
1,11500,0,389771964,139,C#,Major,36,22,15,84,11
1,1685,0,403939487,95,B,Major,75,74,58,36,9
1,14169,0,481697415,115,,Major,60,23,57,0,27
2,1634,0,110073250,125,F#,Major,62,59,43,84,11
1,906,0,88092256,76,,Major,60,19,20,78,11
1,1087,0,351636786,101,C#,Minor,72,91,87,14,13
2,10585,0,473248298,143,D,Major,60,86,32,88,34
1,827,0,73981293,119,G,Minor,51,51,66,67,9
2,1420,4,155653938,78,A,Major,67,22,59,76,15
3,11940,0,395591396,96,A,Major,23,19,25,91,40
1,888,0,429504768,180,A,Major,51,87,58,36,18
1,9122,0,242767149,126,D#,Major,34,35,76,39,8
1,892,0,65362788,150,F,Major,43,42,44,57,15
1,989,0,67540165,90,D,Major,53,47,74,9,34
1,819,0,62019074,160,F,Major,72,78,68,28,11
2,2209,0,135723538,114,,Major,59,60,94,24,10
3,6290,0,295998468,113,G,Major,73,72,32,77,15
1,6952,0,261116938,147,,Major,67,69,72,17,19
2,313,2,136689549,100,B,Minor,70,92,59,3,10
