released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,bpm,danceability_%,valence_%,energy_%,acousticness_%,liveness_%
10,3,1054,0,168684524,101,90,76,81,15,33
1,17,2849,0,78489819,140,81,6,84,5,6
12,2,1602,0,195516622,88,49,24,66,19,18
6,4,9644,28,1260594497,180,64,44,65,28,14
8,12,4827,0,428685680,133,95,91,89,6,31
9,16,21811,0,1024858327,108,63,20,55,72,6
1,5,168,0,838586769,80,39,24,43,39,23
8,11,688,0,199386237,75,80,46,62,3,11
7,30,10565,44,972509632,121,67,26,64,52,17
9,28,1612,0,213438580,140,58,17,62,18,20
9,3,12755,8,1555511105,126,81,59,90,5,36
10,12,574,4,210038833,102,58,29,94,0,9
4,8,2499,0,227918678,82,70,31,34,60,11
12,24,10426,2,826623384,121,46,53,78,23,72
3,27,15894,8,1802514301,103,70,92,83,1,7
6,25,9424,0,1329090101,108,82,88,76,9,12
9,14,713,7,181831132,85,65,36,47,31,12
3,14,7758,28,462791599,125,84,70,69,1,5
10,21,2537,2,348647203,120,69,40,39,41,13
7,17,292,6,366599607,94,58,44,57,57,10
1,1,323,0,90598517,130,65,49,80,22,7
1,1,14143,4,1479264469,110,74,51,74,2,29
10,28,25653,0,1449779435,150,34,33,63,16,7
1,1,22153,0,1159176109,107,74,88,65,28,46
1,1,14994,0,769213520,140,70,85,41,71,45
1,1,10326,0,741301563,119,74,78,37,84,6
10,14,12353,0,807561936,93,35,38,23,91,29
12,13,9408,0,834129063,133,46,53,63,5,30
10,14,8879,0,663832097,202,24,76,60,77,12
11,16,6512,0,446390129,134,45,72,24,91,18
1,1,5140,0,690104769,105,72,33,51,48,9
10,25,6596,0,485285717,160,51,69,81,0,21
11,1,3788,0,520034544,148,50,96,82,47,34
10,14,7655,0,476244795,151,65,70,47,87,9
1,1,9577,0,629173063,162,67,88,54,51,9
11,22,10114,0,404664135,92,53,84,77,40,32
12,9,1007,0,98709329,152,65,35,65,44,21
12,9,1127,0,110849052,65,71,55,26,85,13
12,1,10829,0,460492795,147,33,39,61,32,77
12,8,1042,0,94005786,150,73,71,69,53,32
1,1,7930,0,395591396,140,67,81,36,64,15
11,1,11500,0,389771964,139,36,22,15,84,11
11,16,1685,0,403939487,95,75,74,58,36,9
11,25,14169,0,481697415,115,60,23,57,0,27
12,9,1634,0,110073250,125,62,59,43,84,11
12,9,906,0,88092256,76,60,19,20,78,11
1,1,1087,0,351636786,101,72,91,87,14,13
1,1,10585,0,473248298,143,60,86,32,88,34
12,9,827,0,73981293,119,51,51,66,67,9
12,8,1420,4,155653938,78,67,22,59,76,15
1,1,11940,0,395591396,96,23,19,25,91,40
1,1,888,0,429504768,180,51,87,58,36,18
11,22,9122,0,242767149,126,34,35,76,39,8
12,9,892,0,65362788,150,43,42,44,57,15
12,9,989,0,67540165,90,53,47,74,9,34
12,9,819,0,62019074,160,72,78,68,28,11
11,10,2209,0,135723538,114,59,60,94,24,10
